date,favorite_count,followers_count,friends_count,retweet_count,retweeted,tweet_id,user_id
7/18/2019 14:22,2,21,96,0,False,339,"1,06,43,96,797"
7/18/2019 14:20,0,21,96,0,False,340,"1,06,43,96,797"
7/18/2019 14:20,0,13,314,0,False,341,"10,23,62,00,00,00,00,00,000"
7/18/2019 14:20,0,162,50,0,False,342,"36,88,64,710"
7/18/2019 14:19,0,0,0,0,False,343,"11,51,86,00,00,00,00,00,000"
7/18/2019 14:16,1,9,81,0,False,344,"4,86,61,74,964"
7/18/2019 14:14,0,96,326,0,False,345,"2,41,73,02,088"
7/18/2019 14:14,0,3,61,0,False,346,"8,77,41,00,00,00,00,00,000"
7/18/2019 14:14,1,9,81,0,False,347,"4,86,61,74,964"
7/18/2019 14:12,6,127,194,0,False,348,"5,81,78,239"
7/18/2019 14:11,0,57,203,0,False,349,"1,30,25,31,211"
7/18/2019 14:07,1,20,122,0,False,350,"10,06,71,208"
7/18/2019 14:07,1,438,1133,2,False,351,"14,16,72,344"
7/18/2019 14:05,0,3,61,0,False,352,"8,77,41,00,00,00,00,00,000"
7/18/2019 14:04,0,0,0,0,False,353,"11,09,73,00,00,00,00,00,000"
7/18/2019 14:00,1,404,244,0,False,354,"2,95,74,27,848"
7/18/2019 13:59,0,0,3,0,False,355,"11,09,74,00,00,00,00,00,000"
7/18/2019 13:58,1,13,314,0,False,356,"10,23,62,00,00,00,00,00,000"
7/18/2019 13:57,0,3,61,0,False,357,"8,77,41,00,00,00,00,00,000"
7/18/2019 13:57,0,4,107,0,False,358,"2,45,62,87,382"
7/18/2019 13:56,0,94,628,0,False,359,"27,90,43,032"
7/18/2019 13:56,0,4,107,0,False,360,"2,45,62,87,382"
7/18/2019 13:56,0,4,107,0,False,361,"2,45,62,87,382"
7/18/2019 13:55,0,115,175,0,False,362,"1,74,63,946"
7/18/2019 13:54,1,20,69,0,False,363,"11,39,19,774"
7/18/2019 13:52,0,34,38,0,False,364,"23,38,85,944"
7/18/2019 13:52,0,160,69,0,False,365,"2,34,71,88,643"
7/18/2019 13:52,2,15,251,0,False,366,"9,67,59,60,00,00,00,00,000"
7/18/2019 13:51,1,67,594,0,False,367,"2,52,20,55,866"
7/18/2019 13:49,0,115,175,0,False,368,"1,74,63,946"
7/18/2019 13:49,0,62,364,0,False,369,"1,59,78,32,479"
7/18/2019 13:45,2,803,292,0,False,370,"12,16,23,930"
7/18/2019 13:45,0,168,342,0,False,371,"22,76,09,839"
7/18/2019 13:44,0,588,695,0,False,372,"2,25,44,78,618"
7/18/2019 13:44,83,126,762,0,False,373,"1,01,51,98,752"
7/18/2019 13:43,1,271,98,0,False,374,"76,38,50,184"
7/18/2019 13:41,0,19,184,0,False,375,"37,28,31,261"
7/18/2019 13:41,0,62,364,0,False,376,"1,59,78,32,479"
